drug_name,synonyms,description,drug_class,side_effects_list,age_group_effects,conditions_risk_map
Clopidogrel,Plavix,Blood thinner to prevent clots,Antiplatelet,bleeding:uncommon:severe|bruising:common:mild|diarrhea:uncommon:mild|stomach pain:uncommon:mild,elderly:bleeding=1.6|bruising=1.4,heart disease:bleeding=1.3
Alprazolam,Xanax,Anti-anxiety medication,Benzodiazepine,drowsiness:common:moderate|dizziness:common:mild|confusion:uncommon:moderate|fatigue:common:mild|memory problems:uncommon:mild,elderly:confusion=2.0|drowsiness=1.8|falls=1.7,
Lorazepam,Ativan,Anti-anxiety and sedative,Benzodiazepine,drowsiness:common:moderate|dizziness:common:mild|confusion:uncommon:moderate|weakness:uncommon:mild,elderly:confusion=1.9|drowsiness=1.7|falls=1.6,
Escitalopram,Lexapro,Antidepressant medication,SSRI,nausea:common:mild|headache:common:mild|insomnia:common:mild|drowsiness:common:mild|anxiety:uncommon:mild,pediatric:anxiety=1.4,
Duloxetine,Cymbalta,Antidepressant and pain medication,SNRI,nausea:common:mild|dry mouth:common:mild|drowsiness:common:mild|constipation:uncommon:mild|dizziness:uncommon:mild|fatigue:common:mild,elderly:dizziness=1.4,liver disease:liver toxicity=1.6
Rosuvastatin,Crestor,Cholesterol lowering medication,Statin,muscle pain:common:mild|headache:uncommon:mild|nausea:uncommon:mild|joint pain:uncommon:mild,elderly:muscle pain=1.3,liver disease:liver toxicity=1.8
Pantoprazole,Protonix,Stomach acid reducer,PPI,headache:common:mild|diarrhea:uncommon:mild|nausea:uncommon:mild|stomach pain:uncommon:mild,elderly:confusion=1.2,
Trazodone,Desyrel,Sleep and depression medication,Antidepressant,drowsiness:common:moderate|dizziness:common:mild|dry mouth:common:mild|headache:uncommon:mild,elderly:drowsiness=1.5|dizziness=1.4|confusion=1.3,
Furosemide,Lasix,Water pill for fluid retention,Loop Diuretic,dizziness:common:mild|low blood pressure:uncommon:moderate|dehydration:uncommon:moderate|muscle cramps:uncommon:mild|tinnitus:uncommon:mild,elderly:dizziness=1.6|dehydration=1.5|low blood pressure=1.4,kidney disease:kidney problems=1.5
Albuterol,Ventolin|ProAir,Asthma rescue inhaler,Bronchodilator,heart palpitations:common:mild|tremor:common:mild|headache:uncommon:mild|anxiety:uncommon:mild,pediatric:behavioral changes=1.2,heart disease:heart palpitations=1.5


